raw_character_text,spoken_words
Homer Simpson,Gulp.
,
Homer Simpson,"W,X,Y, AND Z / NOW I KNOW MY ABC'S / WON'T YOU COME AND PLAY WITH ME?"
Eddie,Flawless.
Lou,"We also would have accepted ""Tell me what you think of me."""
Eddie,I guess you're free to...
Barney Gumble,Give him a breathalizer!
Eddie,"Gee, thanks. You're under arrest."
Homer Simpson,
Chief Wiggum,You think you can get this car home?
Barney Gumble,"Sure thing, Giant Beer."
Chief Wiggum,"Ow! Ooh... ow... Mother of Mercy... Hey, this is kinda fun. Whee!!"
,
Marge Simpson,Hello.
Chief Wiggum,"Ah, yeah, Mrs. Simpson, I have some bad news. Your husband was found DOA."
Marge Simpson,Oh my God. He's dead?
Chief Wiggum,"Oh, wait. I mean DWI. I always get those two mixed up."
Mrs. Phillips,My name is Mrs. Phillips. You said my husband is DWI.
Chief Wiggum,Uh... why don't you talk to that officer over there? I'm going out to lunch.
,
Lionel Hutz,"Don't worry, Homer. I have a foolproof strategy to get you out of here. Surprise witnesses. Each more surprising than the last. I tell you, the judge won't know what hit him."
Lionel Hutz,Augh!
Guard,"Pipe down in there, Hutz."
,
Judge Snyder,Your license is hereby revoked and you are to attend traffic school and two months of Alch-anon meetings.
Homer Simpson,"Your Honor, I'd like that last remark stricken from the record."
Judge Snyder,No.
,
Patty Bouvier,It doesn't get any better than this.
,
Lisa Simpson,I want the most intelligent hamster you've got.
Wiseguy,Okayyy... This little guy writes mysteries under the name of J. D. MacGregor.
Lisa Simpson,How can a hamster write mysteries?
Wiseguy,"Well, he gets the ending first, then he works backward."
Lisa Simpson,"Oh, come on."
Wiseguy,"Look kid, just take him before his mother eats him. All right?"
,
Marge Simpson,"Have a good day at work, honey."
Nelson Muntz,Haw haw!
Homer Simpson,"Stupid bicycle. Can't believe this. No good, rotten..."
Homer Simpson,I guess it's not all bad.
,
Lisa Simpson,"I propose to determine the answer to the question: ""Is my brother dumber than a hamster?"""
Bart Simpson,"Hey Lis, look what I can do."
Bart Simpson,Doggone it.
Lisa Simpson,Remarkable.
Bart Simpson,"Stupid books. Hey, a cupcake."
Bart Simpson,Uh-huh.
Bart Simpson,Aaahhh!
Lisa Simpson,Hamster one... Bart... zero.
Lisa Simpson,Experiment two: The food is connected to a mild electrical current.
Lisa Simpson,The hamster has learned a valuable lesson. Beware the hand of man.
Bart Simpson,"Oooh - wise guy, eh?"
Bart Simpson,Ow... ow... ow!
Lisa Simpson,Hampster two... Bart zero...
,
Chief Wiggum,"Now if any of you ever think of drinking and driving again, this film will scare the pants off of you."
Chief Wiggum,"Guys, guys, this is the wrong movie. Oh, wait a second, I do something really funny here."
Chief Wiggum,
Troy McClure,"What a terrible waste. Hi! I'm actor, Troy McClure. You might remember me from such Driver's Ed films as ""Alice's Adventures through the Windshield Glass"" and ""The Decapitation of Larry Leadfoot."" For the next 60 minutes we'll be seeing actual film of car crash victims."
Homer Simpson,"It's funny `cause I don't know him. Heh, heh, heh."
,
Homer Simpson,I'm here for the Alch-anon meeting.
Rev. Timothy Lovejoy,"Huh uh, third door on your left."
Rev. Timothy Lovejoy,Coping with senility?
Jasper Beardly,"No! I'm here for microwave cookery. No, wait. Coping with senility."
,
Ned Flanders,My name is Ned.
Assembly,Hello Ned.
Ned Flanders,It's been four thousand days since my last drink. It was my first and last Blackberry schnapps.
Maude Flanders,"Ned, did you clip Ann Landers today?"
Ned Flanders,Ann Landers is a boring old biddy.
Maude Flanders,Ned!
Ned Flanders,I was more animal than man.
Otto Mann,My name is Ot-to. I love to get blot-to.
,
Hans Moleman,My name is Hans. Drinking has ruined my life. I'm thirty-one years old.
Homer Simpson,My name is Homer and I'm just here because the court made me come.
Rev. Timothy Lovejoy,"Homer, with our help you'll never touch a beer again."
Homer Simpson,
,
Homer Simpson,So they say I might have a problem.
Marge Simpson,"Homie, do you ever drink alone?"
Homer Simpson,Does the Lord count as a person?
Marge Simpson,No.
Homer Simpson,"Then, yes."
Marge Simpson,Do you need a beer to fall asleep?
Homer Simpson,"Thank you, that'd be nice."
Marge Simpson,Do you ever hide beer around the house?
Homer Simpson,Do I ever!
Homer Simpson,Ah.
Marge Simpson,Do you ever drink to escape from reality?
Homer Simpson,
Marge Simpson,"Homie, I'd like you to do something for me."
Homer Simpson,You name it.
Marge Simpson,I want you to give up beer for a month.
Homer Simpson,You got it. No deer for a month.
Marge Simpson,Did you say beer or deer?
Homer Simpson,Deer.
Marge Simpson,"Please, Homie, I know you can do this."
Homer Simpson,"All right. Starting tomorrow, no beer for a month."
Marge Simpson,What was that noise?
Homer Simpson,"I was saying ""Pssst. I love you."""
Marge Simpson,"Bart, could you go get the cupcakes?"
Bart Simpson,"Cupcakes, cupcakes. Yes, sweet cakes for all."
Homer Simpson,"Well, beer... we've had some great times."
Homer Simpson,WHEN I WAS 17 / I DRANK SOME VERY GOOD BEER / I DRANK SOME VERY GOOD BEER I PURCHASED WITH A FAKE I.D. / MY NAME WAS BRIAN MCGEE / I STAYED UP LISTENING TO QUEEN
Homer Simpson,WHEN I WAS 17.
,
Bart Simpson,Huh?
Bart Simpson,She'll pay for this. I'm gonna crush her like this pellet.
Bart Simpson,Ow! Ow! Ow!
,
Bart Simpson,Looking for something?
Lisa Simpson,What have you done with my report?
Bart Simpson,"I've hidden it. To find it, you'll need to decipher a series of clues, each more fiendish than the..."
Lisa Simpson,Got it.
Bart Simpson,
,
Milhouse Van Houten,Behold gravity! In all its glory.
Edna Krabappel,"Pretty lame, Milhouse."
Chuck,Can I touch it?
Chuck's Dad,I've worked too long and hard on this for you to screw it up now.
Chuck,But it's got my name on it.
Chuck's Dad,Just stand over there.
Chuck's Dad,Over there!
Martin Prince,"Behold the flying machine that will carry me, Phileas Fogg, around the world in 80 days!"
Nelson Muntz,"Dang, I was aiming for his head."
Homer Simpson,Hm. Alcohol fueled car.
Homer Simpson,One for you... one for me... One for you... one for me...
Homer Simpson,
Marge Simpson,I don't know if I like you experimenting on your brother.
Lisa Simpson,"Please, Mother. It's purely in the interest of science."
Bart Simpson,Step right up folks! We'll answer the question that has been plaguing scientists for ages. Can hamsters fly planes?
Parent One,"Oooh, look he's got miniature goggles on!"
Parent Two,"And a little scarf, isn't that adorable?"
Lisa Simpson,But this project has no scientific merit.
Seymour Skinner,"Lisa, every good scientist is half B.F. Skinner, and half P.T. Barnum. I don't think I need to see the other exhibits. First prize!"
,
Homer Simpson,One down. Twenty-nine to go.
Feminists,DOWN WITH SEXISM! DOWN WITH SEXISM! DOWN WITH SEXISM!
Guy #1,"Huh, look at all those feminists."
Guy #2,You thinking what I'm thinking?
Homer Simpson,"T.V. have you turned on me, too?"
,
Baseball Announcer,The windup and the two two pitch... Oh no! The batter is calling for time... Looks like he's going and getting himself a new bat. And now there's a beachball on the field. And the ballboys are discussing which one of them is gonna go get it.
Homer Simpson,I never realized how boring this game is.
,
Homer Simpson,I think I've lost weight.
Marge Simpson,You've never looked better.
Patty Bouvier,Thank you all for coming. We've got some very interesting developments in the field of Supperware.
Selma Bouvier,Uh huh. This is the 128 ounce tub. You can fit your whole head in it.
Selma Bouvier,Don't be scared Jubjub. It's mama.
Homer Simpson,I would kill everyone in this room for a drop of sweet beer.
,
Rev. Timothy Lovejoy,"So Homer, please feel free to tell us anything. There's no judgment here."
Homer Simpson,The other day I was so desperate for a beer I snuck into the football stadium and ate the dirt under the bleachers.
Rev. Timothy Lovejoy,I cast thee out!
,
Homer Simpson,Don't think about beer... Don't think about beer... Don't think about beer...
Train,"Chug-a-lug, chug-a-lug, chug-a-lug."
Homer Simpson,Nooooo!
,
Homer Simpson,Thirty days!
Marge Simpson,"I'm proud of you, Homie."
Homer Simpson,"Marge, I'm going to Moe's. Send the kids to the neighbors, I'm comin' back loaded."
Marge Simpson,You don't have to start drinking right away. I was thinking we could go for a bike ride.
Homer Simpson,"But Marge, the barflies are expecting me... Moe, and Barney and that guy who calls me Bill..."
Marge Simpson,But you look better... you don't sweat while you eat anymore... and look.
Marge Simpson,You've saved more than a hundred dollars. I found it in your pants.
Homer Simpson,Yoink.
Marge Simpson,
,
Dr. Wolfe,Age fourteen.
Moe Szyslak,"Well, well look who it is. Mr. ""I don't need alcohol to enjoy life."" We hate him, right fellas?"
Patrons,
Homer Simpson,"Moe, gimme a beer."
Moe Szyslak,Hey everybody! Homer's back!
Patrons,
Barney Gumble,
Moe Szyslak,C'mon Homer. Do it for your old pal Moesy.
Barney Gumble,But Moe. Yesterday you called Homer a worthless sack of...
Moe Szyslak,"Pipe down, rub-a-dub."
Barney Gumble,Ow.
Homer Simpson,"Put it in the fridge, Moe. I got a date with my wife."
Moe Szyslak,You'll be back. And so will you... and you... And you!
Barney Gumble,"Of course I'll be back. If you didn't close, I'd never leave."
,
Homer Simpson,RAINDROPS KEEP FALLING ON MY HEAD...
Marge Simpson,BUT THAT DOESN'T MEAN MY EYES WILL SOON BE TURNING RED...
Marge Simpson,LA LA LA LA LA LA... LA...
,
Senator Mendoza,"My friends. Tonight, we unveil my most diabolical creation.... ""Swank."" Ten times more addictive than marijuana."
Senator Mendoza,To human misery.
Senator Mendoza,McBain!
Senator Mendoza,"Ah, McBain. So glad you could make it. Have a salmon puff."
Senator Mendoza,
Bart Simpson,That is one evil dude.
Homer Simpson,"It's just a movie, son. There's nobody that evil in real life."
,
C. Montgomery Burns,Eh.
C. Montgomery Burns,"Smithers, where's that union representative? He's twenty minutes late."
,
Waylon Smithers,"I don't know, sir. He hasn't been seen since he promised to clean up the union."
,
Receiver,Whoa! What the hell?
,
Dr. Wolfe,Age seventeen.
Lenny Leonard,Dental Plan.
C. Montgomery Burns,"Well let's look at the contract ourselves. Benefits... perks... a green cookie on St. Patrick's Day? Oh, it didn't used to be this way, Smithers. No, it didn't used to be this way at all..."
,
Burns' Grandfather,Come on! Come on! Crack those atoms!
Burns' Grandfather,You... turn out those pockets.
Burns' Grandfather,Atoms... Six of them! Take him away.
Teenage Boy,"You can't treat the working man this way. One day we'll form a union and get the fair and equitable treatment we deserve. Then we'll go too far, and get corrupt and shift-less and the Japanese will eat us alive!"
Burns' Grandfather,The Japanese!? Those sandal-wearing goldfish tenders? Bosh! Flimshaw.
C. Montgomery Burns,"If only we had listened to that boy, instead of walling him up in the abandoned coke oven. Well, I'm going to avenge my grandfather. We'll take on that greedy union and get back our..."
C. Montgomery Burns,Dental Plan.
,
Dr. Wolfe,"How often do you brush, Ralph?"
Ralph Wiggum,"Three times a day, sir."
Dr. Wolfe,Why must you turn my office into a house of lies?
Ralph Wiggum,"You're right, I don't brush. I don't brush..."
Dr. Wolfe,"Let's look at a picture book, ""The Big Book of British Smiles."""
Ralph Wiggum,That's enough. That's enough.
Bart Simpson,Doctor Wolfe likes to pull kids' teeth so he can sell them.
Kids,To who?
Bart Simpson,You know that rattle when you shake up spray paint? That's a kid's tooth.
Dr. Wolfe,Maggie's teeth are coming in crooked. Has she been sucking on a pacifier?
Marge Simpson,Uh... not to my knowledge.
Dr. Wolfe,Liar!
Dr. Wolfe,I'm also afraid Lisa is going to need braces.
Lisa Simpson,Oh no. I'll be socially unpopular. More so.
Marge Simpson,"Are you sure, Doctor?"
Dr. Wolfe,"Well, judge for yourself. Here's Lisa today..."
Dr. Wolfe,"Without treatment, here's what she'll look like at age eleven."
Dr. Wolfe,"And finally, age eighteen."
Lisa Simpson,
Bart Simpson,Cool. She'll be a freak.
Marge Simpson,Bart!
Bart Simpson,"We can stick her in a trailer, drive her around the South, and charge two bits a gander."
Maggie Simpson,
,
Mc,"Now stay tuned for professional wrestling, live from the Springfield Grapplarium! Tonight, a Texas death match... Dr. Hillbilly vs. the Iron Yuppie. One man will actually be unmasked and killed in the ring!"
Homer Simpson,I hope they kill that Iron Yuppie. Thinks he's so big.
Marge Simpson,"Homer, Lisa needs Braces."
Homer Simpson,Don't worry. We won a dental plan in the strike of eighty-eight. That's where I got this scar.
,
Carl Carlson,What do we want?
Workers,More equitable treatment at the hands of management!
Carl Carlson,When do we want it?
Workers,Soon!
Homer Simpson,Where's my burrito? Where's my burrito? Where's my burrito?
Homer Simpson,
,
Homer Simpson,Then I got this scar sneaking under the door of a pay toilet.
,
Carl Carlson,"Welcome brothers of Local 643. As you know, our president, Chucky Fitzhugh, ain't been seen lately. We're all praying he'll turn up soon, alive and well."
Carl Carlson,"All right, all right, but seriously, we have to vote on Burns' new contract. It's basically the same deal, except we get a free keg of beer for our meetings."
Carl Carlson,"And in exchange for that, we have to give up our dental plan."
Lenny Leonard,So long dental plan!
Lenny Leonard,Dental Plan.
Marge Simpson,Lisa needs braces.
Lenny Leonard,Dental Plan.
Marge Simpson,Lisa needs braces.
Lenny Leonard,Dental Plan.
Marge Simpson,Lisa needs braces.
Lenny Leonard,Dental Plan.
Marge Simpson,Lisa needs braces.
Marge Simpson,Lisa needs braces.
Lenny Leonard,Dental Plan.
Marge Simpson,Lisa needs braces.
Carl Carlson,Bullseye!
Homer Simpson,Thanks a lot Carl. Now I've lost my train of thought.
Lenny Leonard,Dental Plan.
Marge Simpson,Lisa needs braces.
Lenny Leonard,Dental Plan.
Marge Simpson,Lisa needs braces.
Homer Simpson,"If we give up our dental plan, I'll have to pay for Lisa's braces."
Homer Simpson,"People stop! We can't give up our dental plan! Lenny, without the dental plan, you wouldn't have that diamond in your tooth."
Guy,Yoink!
Lenny Leonard,Hey!
Homer Simpson,"And Gummy Joe, where would you be without the dental plan?"
Gummy Joe,"I wouldn't have old chomper here, that's for sure."
Homer Simpson,You know what I think of this contract?
,
C. Montgomery Burns,"Who is that firebrand, Smithers?"
Waylon Smithers,"That's Homer Simpson, sir."
C. Montgomery Burns,"Simpson, eh?... New man?"
Waylon Smithers,"Actually sir, he thwarted your campaign for governor... you ran over his son... he saved the plant from meltdown and his wife painted your portrait--"
C. Montgomery Burns,Doesn't ring a bell.
,
Workers,Homer! Homer! Homer!
Carl Carlson,I move that Homer Simpson be our new union president. All in favor...
Crowd,Aye!
Carl Carlson,All opposed?
Man,Nay.
Carl Carlson,"Congratulations, Homer!"
Homer Simpson,"Hey, what does this job pay?"
Carl Carlson,Nothin'.
Homer Simpson,
Carl Carlson,... Unless you're crooked.
Homer Simpson,Woo hoo!
,
Marge Simpson,"President of the union! I'm so proud of you, Homie."
Lisa Simpson,This is your chance to get a fair shake for the working man.
Homer Simpson,And make life-long connections to the world of Organized Crime. Hmmm... organized crime.
Donut Vendor,"Don Homer, I have baked a special donut just for you."
Homer Simpson,Mmm. Gratzi.
Woman,"Don Homer, my son, he has trouble with the..."
Homer Simpson,Eh-Eh-Eh.
Homer Simpson,Molto bene.
Homer Simpson,That's-a-nice-a-donut.
Lisa Simpson,Do you think you can get the dental plan back?
Homer Simpson,"Well, that depends on who's a better negotiator, Mr. Burns or me."
Bart Simpson,"Dad, I'll trade you this delicious door stop for your crummy ol' danish."
Homer Simpson,"Done and done! Heh, heh, heh."
,
Dr. Wolfe,"Lisa and Marge, these braces are invisible, painless, and periodically release a delightful burst of Calvin Klein's Obsession for teeth."
Lisa Simpson,Mmmm.
Marge Simpson,"Doctor, we don't have a dental plan right now. So we'll need something a little more... affordable."
Dr. Wolfe,These pre-date stainless steel so you can't get them wet.
,
C. Montgomery Burns,"Hmm, he's a worthy foe. Look at him, Smithers. Exercising away while the others are off at the candy machine."
Homer Simpson,"Hey, Lenny, can you get this Sugar Daddy off my back?"
Lenny Leonard,"Okay, but it's the last time."
,
C. Montgomery Burns,"We don't have to be adversaries, Homer. We both want a fair union contract."
C. Montgomery Burns,"And, if you scratch my back, I'll scratch yours."
C. Montgomery Burns,"I mean, if I should slip something into your pocket, what's the harm?"
C. Montgomery Burns,"After all, negotiations make strange bedfellows."
Homer Simpson,"Sorry, Mr. Burns, but I don't go in for these backdoor shenanigans. Sure, I'm flattered... maybe even a little curious, but the answer is no."
,
Dr. Wolfe,"Lisa, so you won't be scared, I'll show you some of the tools I'll be using."
Dr. Wolfe,This is the scraper. This is the poker. And this happy little fellow is the gouger.
Lisa Simpson,Uh huh.
Dr. Wolfe,"Now, the first thing I'll be doing is chiseling some teeth out of your jaw- bone. Hold still while I gas you."
Mop Top #1,Look fellas! It's Lisa in the sky.
Mop Top #2,"No diamonds, though."
Mop Top #3,Look out for that campy drawing of Queen Victoria!
Mop Tops,"For the love of God, help us!"
Lisa Simpson,The mirror. The mirror!
,
Marge Simpson,"Honey, you look fine."
Homer Simpson,Who is it?
Goon,Goons.
Homer Simpson,Who?
Goon,Hired goons.
Homer Simpson,Hired goons?
,
Bird,
C. Montgomery Burns,"Ah, Homer! I hope Crusher and Low Blow didn't hurt you."
Homer Simpson,"You know, you could have just called me."
C. Montgomery Burns,"Oh yes, but the telephone is so impersonal. I prefer the hands-on touch you only get with hired goons."
Homer Simpson,Hired goons?
C. Montgomery Burns,This is the largest TV in the free world.
Bumblebee Man,Aiiee! Un gato malodoro!
C. Montgomery Burns,
C. Montgomery Burns,This is a thousand monkeys working at a thousand typewriters. Soon they'll have written the greatest novel known to man.
C. Montgomery Burns,"Let's see. ""It was the best of times. It was the blurst of times?"" You stupid monkey!"
Monkey,
C. Montgomery Burns,"Ohh, shut up."
C. Montgomery Burns,And this is my basement.
Homer Simpson,"Gee, it's not as nice as the other rooms."
,
C. Montgomery Burns,"Yes, I really should stop ending the tour with it."
C. Montgomery Burns,"Now, let's get down to business."
C. Montgomery Burns,"Now, Homer, I know what you're thinking and I want to take the pressure off."
C. Montgomery Burns,"It doesn't take a whiz to see that you're looking out for number one. Well, listen to me and you'll make a big splash very soon."
Homer Simpson,Which way to the bathroom?
C. Montgomery Burns,Oh. It's the twenty-third door on the left.
Homer Simpson,Nope. Nope. Nope.
C. Montgomery Burns,"Ah, he wouldn't even hear me out."
Homer Simpson,
C. Montgomery Burns,Find the bathroom alright?
Homer Simpson,Uh... yeah.
,
C. Montgomery Burns,"Well, you've won this round Simpson, but I'll grind you into the earth like a bug!"
C. Montgomery Burns,"Simpson, be a dear and rub my legs till the feeling comes back."
C. Montgomery Burns,"A bug, I tell you! A bug!"
Homer Simpson,I'm gonna resign. I don't know why they made me Union President in the first place.
Marge Simpson,Because they love you down at the plant.
Homer Simpson,"Yeah, you're right. Guys are always patting my bald head for luck... pinching my belly to hear my girlish laugh..."
Marge Simpson,That doesn't sound like they like you at all.
Homer Simpson,"Ya know, I think you're right. First thing tomorrow morning, I'm gonna punch Lenny in the back of the head."
,
Seymour Skinner,"Batten down those cowlicks... straighten that part... uncross those eyes, Mister."
Quigley,But I can't.
Seymour Skinner,"Oh, sorry Quigley."
Photographer,"Come on, honey, smile."
Photographer,I bet you've got a beautiful smile. Why don't you share it with the world?
Photographer,"We can always stick in a ""Photo Not Available"" card."
,
Homer Simpson,"Fellow workers, I've been meeting with Mr. Burns day and night and I've had enough."
Workers,Strike! Strike! Strike!
Carl Carlson,All in favor of a strike...
Workers,Aye!
Carl Carlson,All opposed?
Man,Nay.
Homer Simpson,Who keeps saying that?
Man,It was him.
Man,"Let's get him, fellows."
Man,
,
Lisa Simpson,COME GATHER 'ROUND CHILDREN / IT'S HIGH-TIME YE LEARNS / 'BOUT A HERO NAMED HOMER / AND A DEVIL NAMED BURNS / WE'LL MARCH TILL WE DROP / THE GIRLS AND THE FELLAS / WILL FIGHT TILL THE DEATH OR ELSE FOLD LIKE UMBRELLAS
Chief Wiggum,Ahhh. This is the life.
C. Montgomery Burns,"Smithers, get me some strike breakers like the kind they had in the 30's."
,
Grampa Simpson,"We can't bust heads like we used to, but we have our ways."
Grampa Simpson,"One trick is to tell them stories that don't go anywhere... Like the time I caught the ferry over to Shelbyville. I needed a new heel for my shoe, so I decided to go to Morganville, which is what they called Shelbyville in those days. So I tied an onion to my belt, which was the style at the time... now to take the ferry cost a nickel, and in those days nickels had pictures of bumblebees on them. ""Give me five bees for a quarter"" you'd say. Now, where were we? Oh yes, the important thing was that I had an onion on my belt, which was the style at the time. They didn't have white onions, because of the war..."
C. Montgomery Burns,"Full power, Smithers."
C. Montgomery Burns,
,
Lisa Simpson,SO WE'LL MARCH DAY AND NIGHT / BY THE BIG COOLING TOWER / THEY HAVE THE PLANT / BUT WE HAVE THE POWER.
Lenny Leonard,"Now do ""Classical Gas."""
C. Montgomery Burns,"Oooo, look at him strutting around like he's cock of the walk. Well, let me tell you, Homer Simpson is cock of nothing. Why you and I can run this plant ourselves."
,
Robots,"Crush, kill, destroy..."
,
,
DR. JOYCE,I brought my own mike!
Kent Brockman,"Yes, well, Homer, organized labor has been called a lumbering dinosaur."
Homer Simpson,
Kent Brockman,"Yes, well, my director is telling me not to talk to you anymore."
Homer Simpson,Woo hoo!
Kent Brockman,"Uh, Mr. Burns, you mentioned you wanted an opening tirade?"
C. Montgomery Burns,"Yes, thank you, Kent. Fifteen minutes from now I will wreak a terrible vengeance on this city. No one will be spared. No one!"
Kent Brockman,"A chilling vision of things to come. Homer, any thoughts?"
,
C. Montgomery Burns,Oh for God's sake.
C. Montgomery Burns,"Goodbye, Springfield. From hell's heart I stab at thee!"
,
,
,
,
Lisa Simpson,SO WE'LL MARCH DAY AND NIGHT /
Homer Simpson,BY THE BIG COOLING TOWER...
Workers,THEY HAVE THE PLANT / BUT WE HAVE THE POWER...
,
C. Montgomery Burns,"Look at them all, through the darkness I'm bringing. They're not sad at all, they're actually singing! They sing without juicers! They sing without blenders! They sing without flunjers, capdabblers and smendlers! Tell Simpson I'm ready to deal"
C. Montgomery Burns,All right! You can even have the dental plan!... On one condition. You must resign as head of the union.
Homer Simpson,Woo hoo!
Homer Simpson,
C. Montgomery Burns,"Smithers, I'm beginning to think that Homer Simpson was not the brilliant tactician I thought he was."
Homer Simpson,"Woop, woop, woop! Woop, woop, woop!"
,
Homer Simpson,We're going back to work!
,
,
,
Marge Simpson,"Oh, honey, you can hardly see your new braces."
Lisa Simpson,And that's the tooth!
Dr. Wolfe,Oops. I left the gas on.
,
Bart Simpson,"Oh no, I can't see! I'm blind! Blind!"
Homer Simpson,Haw haw. April Fool's.
Homer Simpson,
Homer Simpson,"Haw, haw. April Fool's! I've been keepin' that carton of milk next to the furnace for six weeks! Sucker!"
Bart Simpson,"You're goin' down, Homer! I'm gonna fool you!"
Homer Simpson,You talk better than you fool.
Bart Simpson,I'll fool you up real nice!
Homer Simpson,You couldn't fool your mother on the foolingest day of your life if you had an electrified fooling machine.
Marge Simpson,P.U.
Homer Simpson,"Ahhh, what noble visionary thought up April Fool's Day?"
Lisa Simpson,"Like Halloween and Christmas, April Fool's Day traces its origins to pagan ritual."
Homer Simpson,God bless those pagans.
Lisa Simpson,April first used to be the Pagan New Year.
,
Pagan Simpsons,Blood for Baal! Blood for Baal!
Lisa Simpson,The Christians changed their calendar and ridiculed those who didn't.
Homer Simpson,Happy New Year!
Ned Flanders,"Hi-ho pagans! New Years was three months ago, but here's a present anyhoo!"
Todd Flanders,It's ram's blood for your Godless ceremony!
Ned Flanders,April Fool's!
Flanders Family,
Homer Simpson,
Lisa Simpson,Now who's laughing? Now who's laughing?
,
Homer Simpson,And that's the story of April Fool's Day.
Lisa Simpson,Dad! I was telling the story.
Homer Simpson,"Oh, right."
,
Captain Horatio McCallister,Thar she blows! The catch of the day!
Waiters/cooks,"Arrrr, harrrr, harrrrrr!"
Captain Horatio McCallister,"Why, ye mutinous dogs. From this day, I be requirin' hair nets!"
Waiters/cooks,Arrrr... arrrrrr.... arrrrrr....
,
Bart Simpson,I've got to fool him before the day is out -- but how? He must have a weakness.
Homer Simpson,"Ah, beer. My one weakness. My Achilles heel, if you will."
Bart Simpson,Beer! Beer is the cheese. But how to use it...
Homer Simpson,"Whew! It's a good thing that beer wasn't shaken up any more, or I'd have looked quite the fool. An April Fool, as it were."
Bart Simpson,
,
Teenage Clerk,Hey kid. That's for customers only.
Bart Simpson,"Uh, did you know there's a guy outside handing out free Stridex pads?"
Teenage Clerk,"Wow, I'm in pizza-face paradise."
Bart Simpson,Moron.
,
Bumblebee Man,"Ay, no es bueno."
Homer Simpson,So thirsty... Eh. What're you gonna do?
Announcer,"The following is a public service announcement. Excess of alcohol consumption can cause liver damage, and cancer of the rectum."
Homer Simpson,Mmmm... beer.
Bart Simpson,April F...
,
Lou,That sounded like an explosion at the old Simpson place.
Chief Wiggum,Forget it. That's two blocks away.
Lou,It looks like there's beer coming out of the chimney.
Chief Wiggum,I'm proceeding on foot. Call in a Code eight.
Lou,We need pretzels! Repeat! Pretzels!
,
Dr. Julius Hibbert,"Mrs. Simpson, I'm afraid your husband is dead."
Marge Simpson,
Dr. Julius Hibbert,April Fool's! He's very much alive... although I'm afraid he may never walk again.
Maggie Simpson,
,
Homer Simpson,"ROW, ROW, ROW YOUR BOAT, GENTLY DOWN THE STREAM..."
Marge Simpson,Homie!
Homer Simpson,Marge!
Bart Simpson,
Specialist,"Homer has many, many horrible problems. These shadows are brain lesions resulting from numerous blows to the head... And his brain waves are disturbingly erratic."
,
Dr. Marvin Monroe,"...You are wired in to the rest of your family. You have the ability to shock them, and they have the ability to shock--"
Homer Simpson,Arrrgh!
Bart Simpson,Just testing.
Lisa Simpson,Arrrgh!
Marge Simpson,"Bart, how could you shock your little sister?"
Bart Simpson,My finger slipped.
Bart Simpson,Arrrgh!
Lisa Simpson,So did mine.
Marge Simpson,Bart! Lisa! Stop that.
Lisa Simpson,Arrrgh!
Homer Simpson,Arrrgh!
Lisa Simpson,Arrrgh!
Marge Simpson,Arrrgh!
Bart Simpson,Arrrgh!
Dr. Marvin Monroe,"No, no. No! No, wait a minute! Wait! Wait! Folks! Folks, if I could... Not yet! This is not the way to get healthy!"
,
,
Specialist,"Mrs. Simpson, can you think of anything to account for all this?"
Marge Simpson,I have no idea. Unless it was that time he kept falling down the cliff.
,
Bart Simpson,"I won't jump anymore, I promise."
Homer Simpson,"Ohhh, thank God. Thank God. Thank God."
Bart Simpson,"I love you, Dad."
Homer Simpson,"I love you too, son. You know, boy, I don't think I've ever felt as close to you as I do right --"
Homer Simpson,I'm going to make it! I'm going to make it! This is the greatest thrill of my life! I'm king of the world! Woo hoo! Woo hoo!! I--
Specialist,Hmm. That still wouldn't explain what I'm seeing here.
Marge Simpson,You look familiar. Have we met before?
,
,
Vet,Clear! Ugh... Clear!
Nurse,Doctor... he's gone.
Vet,This is the part of the job I hate.
Dr. Julius Hibbert,You're a veterinarian?
Specialist,That's right. And for an extra twenty dollars I'll give Homer a tick bath and then spay him.
Bart Simpson,"Here ya go, Doc."
Marge Simpson,Bart!
Bart Simpson,Shop around. You can't beat that price.
,
Homer Simpson,You guys must have been pretty worried about me.
Lisa Simpson,"Hey, we know you're tough, Dad. Remember that time you got lost in the forest?"
,
Homer Simpson,"This is a trap. It's going to catch us our dinner. Come on, boy."
Homer Simpson,Shhhh! Just watch.
Homer Simpson,"Oooh, ahh. Ha! Got him!"
,
Homer Simpson,"Okay, okay. This time I'll just go into the bushes over there, make a lot of noise and flush out a rabbit. When he comes out, you step on him."
Bart Simpson,"Right, Dad."
Homer Simpson,Get 'em off me! Get 'em off me! Get 'em off me!
Marge Simpson,It's true. You have good coping skills.
,
Homer Simpson,"The burgers are getting cold, guys. Holy moly."
Bart Simpson,And there's one Itchy and Scratchy cartoon I don't think we'll ever forget.
Marge Simpson,Why'd you bring that up?
Bart Simpson,It was an amusing episode... of our lives.
Homer Simpson,"Thanks for coming to visit me, Moe."
Moe Szyslak,I brought you a little present.
Homer Simpson,No! No! Beer bring pain!
Barney Gumble,I can't stand to see him like this!
Moe Szyslak,He really needs a girlfriend.
,
Homer Simpson,"Oh, Marge, what if I wind up as some vegetable, watching TV on the couch? My important work will never be completed."
Marge Simpson,"Society's loss, I suppose. But our marriage has been through hard times and we always pull through."
,
Homer Simpson,Marge!
,
Homer Simpson,"What a lovely surprise! You're here to see me, right?"
Marge Simpson,Of course.
